Urdu,RomanUrdu
یہ کیا کہ تجہے بہی ہے زمانے سے شکایت,ye kyaa ki tujhe bhee hai zamaane se shikaayat
یہ کیا کہ تری انکہ بہی پر نم ہے مری جاں,ye kyaa ki tiree aankh bhee purnam hai miree jaan
ہم سادہ دلوں پر یہ شب غم کا تسلط,ham saadadilon par ye shabe ham kaa tasallut
مایوس نہ ہو اور کویی دم ہے مری جاں,maayoos na ho aur koee dam hai miree jaan
یہ تیری توجہ کا ہے اعجاز کہ مجہ سے,ye teree tavajjoh kaa hai ejaaz ki mujh se
ہر شخص ترے شہر کا برہم ہے مری جاں,har shakhs tire shahr kaa barham hai miree jaan
اے نزہت مہتاب ترا غم ہے مری زیست,ai nuzhatemahtaab tiraa ham hai miree ziist
اے نازش خورشید ترا غم ہے مری جاں,ai naazishekhursheed tiraa ham hai miree jaan
افسوس تمہیں کار کے شیشے کا ہوا ہے,afsos tumhen car ke sheeshe kaa huaa hai
پروا نہیں اک ماں کا جو دل ٹوٹ گیا ہے,parvaa naheen ik maan kaa jo dil tuut gayaa hai
ہوتا ہے اثر تم پہ کہاں نالۂ غم کا,hotaa hai asar tum pe kahaan naalae ham kaa
برہم جو ہویی بزم طرب اس کا گلا ہے,barham jo huee bazmetarab is kaa gilaa hai
فرعون بہی نمرود بہی گزرے ہیں جہاں میں,firaun bhee namrood bhee guzre hain jahaan men
رہتا ہے یہاں کون یہاں کون رہا ہے,rahtaa hai yahaan kaun yahaan kaun rahaa hai
تم ظلم کہاں تک تہ افلاک کرو گے,tum zulm kahaan tak taheaflaak karoge
یہ بات نہ بہولو کہ ہمارا بہی خدا ہے,ye baat na bhoolo ki hamaaraa bhee khudaa hai
ازادی انساں کے وہیں پہول کہلیں گے,aazaadieinsaan ke vaheen phuul khilenge
جس جا پہ ظہیر اج ترا خون گرا ہے,jis jaa pe zaheer aaj tiraa khuun giraa hai
تا چند رہے گی یہ شب غم کی سیاہی,taachand rahegee ye shabe ham kee siyaahee
رستہ کویی سورج کا کہیں روک سکا ہے,rasta koee sooraj kaa kaheen rok sakaa hai
تو اج کا شاعر ہے تو کر میری طرح بات,too aaj kaa shaair hai to kar meree tarah baat
جیسے مرے ہونٹوں پہ مرے دل کی صدا ہے,jaise mire honton pe mire dil kee sadaa hai
اپنوں نے وہ رنج دیے ہیں بیگانے یاد اتے ہیں,apnon ne vo ranj diye hain begaane yaad aate hain
دیکہ کے اس بستی کی حالت ویرانے یاد اتے ہیں,dekh ke us bastee kee haalat veeraane yaad aate hain
اس نگری میں قدم قدم پہ سر کو جہکانا پڑتا ہے,us nagree men qadam qadam pe sar ko jhukaanaa padtaa hai
اس نگری میں قدم قدم پر بت خانے یاد اتے ہیں,us nagree men qadam qadam par butkhaane yaad aate hain
انکہیں پر نم ہو جاتی ہیں غربت کے صحراوں میں,aankhen purnam ho jaatee hain hurbat ke sahraaon men
جب اس رم جہم کی وادی کے افسانے یاد اتے ہیں,jab us rimjhim kee vaadee ke afsaane yaad aate hain
ایسے ایسے درد ملے ہیں نیے دیاروں میں ہم کو,aise aise dard mile hain nae dayaaron men ham ko
بچہڑے ہویے کچہ لوگ پرانے یارانے یاد اتے ہیں,bichhde hue kuchh log puraane yaaraane yaad aate hain
جن کے کارن اج ہمارے حال پہ دنیا ہستی ہے,jin ke kaaran aaj hamaare haal pe duniyaa hastee hai
کتنے ظالم چہرے جانے پہچانے یاد اتے ہیں,kitne zaalim chehre jaane pahchaane yaad aate hain
یوں نہ لٹی تہی گلیوں دولت اپنے اشکوں کی,yuun na lutee thee galiyon daulat apne ashkon kee
روتے ہیں تو ہم کو اپنے غم خانے یاد اتے ہیں,rote hain to ham ko apne hamkhaane yaad aate hain
کویی تو پرچم لے کر نکلے اپنے گریباں کا جالبؔ,koee to parcham le kar nikle apne garebaan kaa jaalib
چاروں جانب سناٹا ہے دیوانے یاد اتے ہیں,chaaron jaanib sannaataa hai deevaane yaad aate hain
اور سب بہول گیے حرف صداقت لکہنا,aur sab bhuul gae harfesadaaqat likhnaa
رہ گیا کام ہمارا ہی بغاوت لکہنا,rah gayaa kaam hamaaraa hee ba haavat likhnaa
لاکہ کہتے رہیں ظلمت کو نہ ظلمت لکہنا,laakh kahte rahen zulmat ko na zulmat likhnaa
ہم نے سیکہا نہیں پیارے بہ اجازت لکہنا,ham ne seekhaa naheen pyaare baijaazat likhnaa
نہ صلے کی نہ ستایش کی تمنا ہم کو,na sile kee na sataaish kee tamannaa ham ko
حق میں لوگوں کے ہماری تو ہے عادت لکہنا,haq men logon ke hamaaree to hai aadat likhnaa
ہم نے جو بہول کے بہی شہہ کا قصیدہ نہ لکہا,ham ne jo bhuul ke bhee shah kaa qaseeda na likhaa
شاید ایا اسی خوبی کی بدولت لکہنا,shaayad aayaa isee khoobee kee badaulat likhnaa
اس سے بڑہ کر مری تحسین بہلا کیا ہوگی,is se badh kar miree tahseen bhalaa kyaa hogee
پڑہ کے نا خوش ہیں مرا صاحب ثروت لکہنا,padh ke naakhush hain miraa saahabesarvat likhnaa
دہر کے غم سے ہوا ربط تو ہم بہول گیے,dahr ke ham se huaa rabt to ham bhuul gae
سرو قامت کو جوانی کو قیامت لکہنا,sarv qaamat ko javaanee ko qayaamat likhnaa
کچہ بہی کہتے ہیں کہیں شہہ کے مصاحب جالبؔ,kuchh bhee kahte hain kaheen shah ke musaahib jaalib
رنگ رکہنا یہی اپنا اسی صورت لکہنا,rang rakhnaa yahee apnaa isee soorat likhnaa
باتیں تو کچہ ایسی ہیں کہ خود سے بہی نہ کی جاییں,baaten to kuchh aisee hain ki khud se bhee na kee jaaen
سوچا ہے خموشی سے ہر اک زہر کو پی جاییں,sochaa hai khamoshee se har ik zahr ko pee jaaen
اپنا تو نہیں کویی وہاں پوچہنے والا,apnaa to naheen koee vahaan poochhne vaalaa
اس بزم میں جانا ہے جنہیں اب تو وہی جاییں,us bazm men jaanaa hai jinhen ab to vahee jaaen
اب تجہ سے ہمیں کویی تعلق نہیں رکہنا,ab tujh se hamen koee taalluq naheen rakhnaa
اچہا ہو کہ دل سے تری یادیں بہی چلی جاییں,achchhaa ho ki dil se tiree yaaden bhee chalee jaaen
اک عمر اٹہایے ہیں ستم غیر کے ہم نے,ik umr uthaae hain sitam hair ke ham ne
اپنوں کی تو اک پل بہی جفاییں نہ سہی جاییں,apnon kee to ik pal bhee jafaaen na sahee jaaen
جالبؔ غم دوراں ہو کہ یاد رخ جاناں,jaalib hamedauraan ho ki yaaderukhejaanaan
تنہا مجہے رہنے دیں مرے دل سے سبہی جاییں,tanhaa mujhe rahne den mire dil se sabhee jaaen
بڑے بنے تہے جالبؔ صاحب پٹے سڑک کے بیچ,bade bane the jaalib saahab pite sadak ke biich
گولی کہایی لاٹہی کہایی گرے سڑک کے بیچ,golee khaaee laathee khaaee gire sadak ke biich
کبہی گریباں چاک ہوا اور کبہی ہوا دل خون,kabhee girebaan chaak huaa aur kabhee huaa dil khuun
ہمیں تو یوں ہی ملے سخن کے صلے سڑک کے بیچ,hamen to yoonhee mile sukhan ke sile sadak ke biich
جسم پہ جو زخموں کے نشاں ہیں اپنے تمغے ہیں,jism pe jo zakhmon ke nishaan hain apne tam he hain
ملی ہے ایسی داد وفا کی کسے سڑک کے بیچ,milee hai aisee daad vafaa kee kise sadak ke biich
بہت روشن ہے شام غم ہماری,bahut raushan hai shaame ham hamaaree
کسی کی یاد ہے ہم دم ہماری,kisee kee yaad hai hamdam hamaaree
غلط ہے لا تعلق ہیں چمن سے,halat hai laataalluq hain chaman se
تمہارے پہول اور شبنم ہماری,tumhaare phuul aur shabnam hamaaree
یہ پلکوں پر نیے انسو نہیں ہیں,ye palkon par nae aansoo naheen hain
ازل سے انکہ ہے پر نم ہماری,azal se aankh hai purnam hamaaree
ہر اک لب پر تبسم دیکہنے کی,har ik lab par tabassum dekhne kee
تمنا کب ہویی ہے کم ہماری,tamannaa kab huee hai kam hamaaree
کہی ہے ہم نے خود سے بہی بہت کم,kahee hai ham ne khud se bhee bahut kam
نہ پوچہو داستان غم ہماری,na poochho daastaane ham hamaaree
بٹے رہو گے تو اپنا یوں ہی بہے گا لہو,bate rahoge to apnaa yoonhee bahegaa lahoo
ہویے نہ ایک تو منزل نہ بن سکے گا لہو,hue na ek to manzil na ban sakegaa lahoo
ہو کس گہمنڈ میں اے لخت لخت دیدہ ورو,ho kis ghamand men ai lakht lakht deedavaro
تمہیں بہی قاتل محنت کشاں کہے گا لہو,tumhen bhee qaatilemehnatkashaan kahegaa lahoo
اسی طرح سے اگر تم انا پرست رہے,isee tarah se agar tum anaaparast rahe
خود اپنا راہنما اپ ہی بنے گا لہو,khud apnaa raahnumaa aap hee banegaa lahoo
سنو تمہارے گریبان بہی نہیں محفوظ,suno tumhaare garebaan bhee naheen mahfooz
ڈرو تمہارا بہی اک دن حساب لے گا لہو,daro tumhaaraa bhee ik din hisaab legaa lahoo
اگر نہ عہد کیا ہم نے ایک ہونے کا,agar na ahd kiyaa ham ne ek hone kaa
غنیم سب کا یوں ہی بیچتا رہے گا لہو,haneem sab kaa yoonhee bechtaa rahegaa lahoo
کبہی کبہی مرے بچے بہی مجہ سے پوچہتے ہیں,kabhee kabhee mire bachche bhee mujh se poochhte hain
کہاں تک اور تو خشک اپنا ہی کرے گا لہو,kahaan tak aur too khushk apnaa hee karegaa lahoo
صدا کہا یہی میں نے قریب تر ہے وہ دور,sadaa kahaa yahee main ne qareebtar hai vo duur
کہ جس میں کویی ہمارا نہ پی سکے گا لہو,ki jis men koee hamaaraa na pee sakegaa lahoo
بہلا بہی دے اسے جو بات ہو گیی پیارے,bhulaa bhee de use jo baat ho gaee pyaare
نیے چراغ جلا رات ہو گیی پیارے,nae charaa h jalaa raat ho gaee pyaare
تری نگاہ پشیماں کو کیسے دیکہوں گا,tiree nigaahepashemaan ko kaise dekhoongaa
کبہی جو تجہ سے ملاقات ہو گیی پیارے,kabhee jo tujh se mulaaqaat ho gaee pyaare
نہ تیری یاد نہ دنیا کا غم نہ اپنا خیال,na teree yaad na duniyaa kaa ham na apnaa khayaal
عجیب صورت حالات ہو گیی پیارے,ajiib sooratehaalaat ho gaee pyaare
اداس اداس ہیں شمعیں بجہے بجہے ساغر,udaas udaas hain shamen bujhe bujhe saa har
یہ کیسی شام خرابات ہو گیی پیارے,ye kaisee shaamekharaabaat ho gaee pyaare
وفا کا نام نہ لے گا کویی زمانے میں,vafaa kaa naam na legaa koee zamaane men
ہم اہل دل کو اگر مات ہو گیی پیارے,ham ahledil ko agar maat ho gaee pyaare
تمہیں تو ناز بہت دوستوں پہ تہا جالبؔ,tumhen to naaz bahut doston pe thaa jaalib
الگ تہلگ سے ہو کیا بات ہو گیی پیارے,alagthalag se ho kyaa baat ho gaee pyaare
چور تہا زخموں سے دل زخمی جگر بہی ہو گیا,chuur thaa zakhmon se dil zakhmee jigar bhee ho gayaa
اس کو روتے تہے کہ سونا یہ نگر بہی ہو گیا,us ko rote the ki suunaa ye nagar bhee ho gayaa
لوگ اسی صورت پریشاں ہیں جدہر بہی دیکہیے,log usee soorat pareshaan hain jidhar bhee dekhiye
اور وہ کہتے ہیں کوہ غم تو سر بہی ہو گیا,aur vo kahte hain kohe ham to sar bhee ho gayaa
بام و در پر ہے مسلط اج بہی شام الم,baamodar par hai musallat aaj bhee shaamealam
یوں تو ان گلیوں سے خورشید سحر بہی ہو گیا,yuun to in galiyon se khursheedesahar bhee ho gayaa
اس ستم گر کی حقیقت ہم پہ ظاہر ہو گیی,us sitamgar kee haqeeqat ham pe zaahir ho gaee
ختم خوش فہمی کی منزل کا سفر بہی ہو گیا,khatm khushfahmee kee manzil kaa safar bhee ho gayaa
درخت سوکہ گیے رک گیے ندی نالے,darakht suukh gae ruk gae nadee naale
یہ کس نگر کو روانہ ہویے ہیں گہر والے,ye kis nagar ko ravaana hue hain ghar vaale
کہانیاں جو سناتے تہے عہد رفتہ کی,kahaaniyaan jo sunaate the ahderafta kee
نشاں وہ گردش ایام نے مٹا ڈالے,nishaan vo gardisheayyaam ne mitaa daale
میں شہر شہر پہرا ہوں اسی تمنا میں,main shahr shahr phiraa huun isee tamannaa men
کسی کو اپنا کہوں کویی مجہ کو اپنا لے,kisee ko apnaa kahoon koee mujh ko apnaa le
صدا نہ دے کسی مہتاب کو اندہیروں میں,sadaa na de kisee mahtaab ko andheron men
لگا نہ دے یہ زمانہ زبان پر تالے,lagaa na de ye zamaana zabaan par taale
کویی کرن ہے یہاں تو کویی کرن ہے وہاں,koee kiran hai yahaan to koee kiran hai vahaan
دل و نگاہ نے کس درجہ روگ ہیں پالے,dil o nigaah ne kis darja rog hain paale
ہمیں پہ ان کی نظر ہے ہمیں پہ ان کا کرم,hameen pe un kee nazar hai hameen pe un kaa karam
یہ اور بات یہاں اور بہی ہیں دل والے,ye aur baat yahaan aur bhee hain dil vaale
کچہ اور تجہ پہ کہلیں گی حقیقتیں جالبؔ,kuchh aur tujh pe khulengee haqeeqaten jaalib
جو ہو سکے تو کسی کا فریب بہی کہا لے,jo ho sake to kisee kaa fareb bhee khaa le
دل پر شوق کو پہلو میں دبایے رکہا,dilepurshauq ko pahloo men dabaae rakkhaa
تجہ سے بہی ہم نے ترا پیار چہپایے رکہا,tujh se bhee ham ne tiraa pyaar chhupaae rakkhaa
چہوڑ اس بات کو اے دوست کہ تجہ سے پہلے,chhod is baat ko ai dost ki tujh se pahle
ہم نے کس کس کو خیالوں میں بسایے رکہا,ham ne kis kis ko khayaalon men basaae rakkhaa
غیر ممکن تہی زمانے کے غموں سے فرصت,hair mumkin thee zamaane ke hamon se fursat
پہر بہی ہم نے ترا غم دل میں بسایے رکہا,phir bhee ham ne tiraa ham dil men basaae rakkhaa
پہول کو پہول نہ کہتے سو اسے کیا کہتے,phuul ko phuul na kahte so use kyaa kahte
کیا ہوا غیر نے کالر پہ سجایے رکہا,kyaa huaa hair ne collar pe sajaae rakkhaa
جانے کس حال میں ہیں کون سے شہروں میں ہیں وہ,jaane kis haal men hain kaun se shahron men hain vo
زندگی اپنی جنہیں ہم نے بنایے رکہا,zindagee apnee jinhen ham ne banaae rakkhaa
ہایے کیا لوگ تہے وہ لوگ پری چہرہ لوگ,haae kyaa log the vo log pareechehra log
ہم نے جن کے لیے دنیا کو بہلایے رکہا,ham ne jin ke liye duniyaa ko bhulaae rakkhaa
اب ملیں بہی تو نہ پہچان سکیں ہم ان کو,ab milen bhee to na pahchaan saken ham un ko
جن کو اک عمر خیالوں میں بسایے رکہا,jin ko ik umr khayaalon men basaae rakkhaa
دل کی بات لبوں پر لا کر اب تک ہم دکہ سہتے ہیں,dil kee baat labon par laa kar ab tak ham dukh sahte hain
ہم نے سنا تہا اس بستی میں دل والے بہی رہتے ہیں,ham ne sunaa thaa is bastee men dil vaale bhee rahte hain
بیت گیا ساون کا مہینہ موسم نے نظریں بدلیں,biit gayaa saavan kaa maheena mausam ne nazren badleen
لیکن ان پیاسی انکہوں سے اب تک انسو بہتے ہیں,lekin in pyaasee aankhon se ab tak aansoo bahte hain
ایک ہمیں اوارہ کہنا کویی بڑا الزام نہیں,ek hamen aavaara kahnaa koee badaa ilzaam naheen
دنیا والے دل والوں کو اور بہت کچہ کہتے ہیں,duniyaa vaale dil vaalon ko aur bahut kuchh kahte hain
جن کی خاطر شہر بہی چہوڑا جن کے لیے بدنام ہویے,jin kee khaatir shahr bhee chhodaa jin ke liye badnaam hue
اج وہی ہم سے بیگانے بیگانے سے رہتے ہیں,aaj vahee ham se begaane begaane se rahte hain
وہ جو ابہی اس راہ گزر سے چاک گریباں گزرا تہا,vo jo abhee is raahguzar se chaakgarebaan guzraa thaa
اس اوارہ دیوانے کو جالبؔ جالبؔ کہتے ہیں,us aavaara deevaane ko jaalib jaalib kahte hain
دل پر جو زخم ہیں وہ دکہاییں کسی کو کیا,dil par jo zakhm hain vo dikhaaen kisee ko kyaa
اپنا شریک درد بناییں کسی کو کیا,apnaa shareekedard banaaen kisee ko kyaa
ہر شخص اپنے اپنے غموں میں ہے مبتلا,har shakhs apne apne hamon men hai mubtalaa
زنداں میں اپنے ساتہ رلاییں کسی کو کیا,zindaan men apne saath rulaaen kisee ko kyaa
بچہڑے ہویے وہ یار وہ چہوڑے ہویے دیار,bichhde hue vo yaar vo chhode hue dayaar
رہ رہ کے ہم کو یاد جو اییں کسی کو کیا,rah rah ke ham ko yaad jo aaen kisee ko kyaa
رونے کو اپنے حال پہ تنہایی ہے بہت,rone ko apne haal pe tanhaaee hai bahut
اس انجمن میں خود پہ ہنساییں کسی کو کیا,us anjuman men khud pe hansaaen kisee ko kyaa
وہ بات چہیڑ جس میں جہلکتا ہو سب کا غم,vo baat chhed jis men jhalaktaa ho sab kaa ham
یادیں کسی کی تجہ کو ستاییں کسی کو کیا,yaaden kisee kee tujh ko sataaen kisee ko kyaa
سویے ہویے ہیں لوگ تو ہوں گے سکون سے,soe hue hain log to honge sukoon se
ہم جاگنے کا روگ لگاییں کسی کو کیا,ham jaagne kaa rog lagaaen kisee ko kyaa
جالبؔ نہ ایے گا کویی احوال پوچہنے,jaalib na aaegaa koee ahvaal poochhne
دیں شہر بے حساں میں صداییں کسی کو کیا,den shahrebehisaan men sadaaen kisee ko kyaa
دل والو کیوں دل سی دولت یوں بیکار لٹاتے ہو,dil vaalo kyuun dil see daulat yuun bekaar lutaate ho
کیوں اس اندہیاری بستی میں پیار کی جوت جگاتے ہو,kyuun is andhiyaaree bastee men pyaar kee jot jagaate ho
تم ایسا نادان جہاں میں کویی نہیں ہے کویی نہیں,tum aisaa naadaan jahaan men koee naheen hai koee naheen
پہر ان گلیوں میں جاتے ہو پگ پگ ٹہوکر کہاتے ہو,phir in galiyon men jaate ho pag pag thokar khaate ho
سندر کلیو کومل پہولو یہ تو بتاو یہ تو کہو,sundar kaliyo komal phoolo ye to bataao ye to kaho
اخر تم میں کیا جادو ہے کیوں من میں بس جاتے ہو,aakhir tum men kyaa jaadoo hai kyuun man men bas jaate ho
یہ موسم رم جہم کا موسم یہ برکہا یہ مست فضا,ye mausam rimjhim kaa mausam ye barkhaa ye mast fazaa
ایسے میں او تو جانیں ایسے میں کب اتے ہو,aise men aao to jaanen aise men kab aate ho
ہم سے روٹہ کے جانے والو اتنا بہید بتا جاو,ham se ruuth ke jaane vaalo itnaa bhed bataa jaao
کیوں نت راتو کو سپنوں میں اتے ہو من جاتے ہو,kyuun nit raato ko sapnon men aate ho man jaate ho
چاند ستاروں کے جہرمٹ میں پہولوں کی مسکاہٹ میں,chaandsitaaron ke jhurmut men phoolon kee muskaahat men
تم چہپ چہپ کر ہنستے ہو تم روپ کا مان بڑہاتے ہو,tum chhupchhup kar hanste ho tum ruup kaa maan badhaate ho
چلتے پہرتے روشن رستے تاریکی میں ڈوب گیے,chalte phirte raushan raste taareekee men duub gae
سو جاو اب جالبؔ تم بہی کیوں انکہیں سلگاتے ہو,so jaao ab jaalib tum bhee kyuun aankhen sulgaate ho
دشمنوں نے جو دشمنی کی ہے,dushmanon ne jo dushmanee kee hai
دوستوں نے بہی کیا کمی کی ہے,doston ne bhee kyaa kamee kee hai
خامشی پر ہیں لوگ زیر عتاب,khaamushee par hain log zereitaab
اور ہم نے تو بات بہی کی ہے,aur ham ne to baat bhee kee hai
مطمین ہے ضمیر تو اپنا,mutmain hai zameer to apnaa
بات ساری ضمیر ہی کی ہے,baat saaree zameer hee kee hai
اپنی تو داستاں ہے بس اتنی,apnee to daastaan hai bas itnee
غم اٹہایے ہیں شاعری کی ہے,ham uthaae hain shaaeree kee hai
اب نظر میں نہیں ہے ایک ہی پہول,ab nazar men naheen hai ek hee phuul
فکر ہم کو کلی کلی کی ہے,fikr ham ko kalee kalee kee hai
پا سکیں گے نہ عمر بہر جس کو,paa sakenge na umr bhar jis ko
جستجو اج بہی اسی کی ہے,justujoo aaj bhee usee kee hai
جب مہ و مہر بجہ گیے جالبؔ,jab mahomahr bujh gae jaalib
ہم نے اشکوں سے روشنی کی ہے,ham ne ashkon se raushnee kee hai
فیضؔ اور فیضؔ کا غم بہولنے والا ہے کہیں,faiz aur faiz kaa ham bhoolne vaalaa hai kaheen
موت یہ تیرا ستم بہولنے والا ہے کہیں,maut ye teraa sitam bhoolne vaalaa hai kaheen
ہم سے جس وقت نے وہ شاہ سخن چہین لیا,ham se jis vaqt ne vo shaahesukhan chheen liyaa
ہم کو وہ وقت الم بہولنے والا ہے کہیں,ham ko vo vaqtealam bhoolne vaalaa hai kaheen
ترے اشک اور بہی چمکاییں گی یادیں اس کی,tire ashk aur bhee chamkaaengee yaaden us kee
ہم کو وہ دیدۂ نم بہولنے والا ہے کہیں,ham ko vo deedaenam bhoolne vaalaa hai kaheen
کبہی زنداں میں کبہی دور وطن سے اے دوست,kabhee zindaan men kabhee duur vatan se ai dost
جو کیا اس نے رقم بہولنے والا ہے کہیں,jo kiyaa us ne raqam bhoolne vaalaa hai kaheen
اخری بار اسے دیکہ نہ پایے جالبؔ,aakhiree baar use dekh na paae jaalib
یہ مقدر کا ستم بہولنے والا ہے کہیں,ye muqaddar kaa sitam bhoolne vaalaa hai kaheen
ہم نے دل سے تجہے سدا مانا,ham ne dil se tujhe sadaa maanaa
تو بڑا تہا تجہے بڑا مانا,too badaa thaa tujhe badaa maanaa
میرؔ و غالبؔ کے بعد انیسؔ کے بعد,meer o haalib ke baad anees ke baad
تجہ کو مانا بڑا بجا مانا,tujh ko maanaa badaa bajaa maanaa
تو کہ دیوانۂ صداقت تہا,too ki deevaanaesadaaqat thaa
تو نے بندے کو کب خدا مانا,too ne bande ko kab khudaa maanaa
تجہ کو پروا نہ تہی زمانے کی,tujh ko parvaa na thee zamaane kee
تو نے دل ہی کا ہر کہا مانا,too ne dil hee kaa har kahaa maanaa
تجہ کو خود پہ تہا اعتماد اتنا,tujh ko khud pe thaa e timaad itnaa
خود ہی کو تو نہ رہنما مانا,khud hee ko to na rahnumaa maanaa
کی نہ شب کی کبہی پذیرایی,kee na shab kee kabhee pazeeraaee
صبح کو لایق ثنا مانا,subh ko laaeqesanaa maanaa
ہنس دیا سطح ذہن عالم پر,hans diyaa sathezehneaalam par
جب کسی بات کا برا مانا,jab kisee baat kaa buraa maanaa
یوں تو شاعر تہے اور بہی اے جوشؔ,yuun to shaair the aur bhee ai josh
ہم نے تجہ سا نہ دوسرا مانا,ham ne tujh saa na doosraa maanaa
ہجوم دیکہ کے رستہ نہیں بدلتے ہم,hujoom dekh ke rasta naheen badalte ham
کسی کے ڈر سے تقاضا نہیں بدلتے ہم,kisee ke dar se taqaazaa naheen badalte ham
ہزار زیر قدم راستہ ہو خاروں کا,hazaar zereqadam raasta ho khaaron kaa
جو چل پڑیں تو ارادہ نہیں بدلتے ہم,jo chal paden to iraada naheen badalte ham
اسی لیے تو نہیں معتبر زمانے میں,isee liye to naheen mo tabar zamaane men
کہ رنگ صورت دنیا نہیں بدلتے ہم,ki rangesoorateduniyaa naheen badalte ham
ہوا کو دیکہ کے جالبؔ مثال ہم عصراں,havaa ko dekh ke jaalib misaalehamasraan
بجا یہ زعم ہمارا نہیں بدلتے ہم,bajaa ye zom hamaaraa naheen badalte ham
اک شخص با ضمیر مرا یار مصحفیؔ,ik shakhs baazameer miraa yaar mushafee
میری طرح وفا کا پرستار مصحفیؔ,meree tarah vafaa kaa parastaar mushafee
رہتا تہا کج کلاہ امیروں کے درمیاں,rahtaa thaa kajkulaah ameeron ke darmiyaan
یکسر لیے ہویے مرا کردار مصحفیؔ,yaksar liye hue miraa kirdaar mushafee
دیتے ہیں داد غیر کو کب اہل لکہنو,dete hain daad hair ko kab ahlelucknow
کب داد کا تہا ان سے طلب گار مصحفیؔ,kab daad kaa thaa un se talabgaar mushafee
نا قدری جہاں سے کیی بار ا کے تنگ,naaqadreeejahaan se kaee baar aa ke tang
اک عمر شعر سے رہا بیزار مصحفیؔ,ik umr sher se rahaa bezaar mushafee
دربار میں تہا بار کہاں اس غریب کو,darbaar men thaa baar kahaan us hareeb ko
برسوں مثال میرؔ پہرا خوار مصحفیؔ,barson misaale meer phiraa khvaar mushafee
میں نے بہی اس گلی میں گزاری ہے رو کے عمر,main ne bhee us galee men guzaaree hai ro ke umr
ملتا ہے اس گلی میں کسے پیار مصحفیؔ,miltaa hai us galee men kise pyaar mushafee
اس شہر خرابی میں غم عشق کے مارے,is shahrekharaabee men hameishq ke maare
زندہ ہیں یہی بات بڑی بات ہے پیارے,zinda hain yahee baat badee baat hai pyaare
یہ ہنستا ہوا چاند یہ پر نور ستارے,ye hanstaa huaa chaand ye purnoor sitaare
تابندہ و پایندہ ہیں ذروں کے سہارے,taabinda o paainda hain zarron ke sahaare
حسرت ہے کویی غنچہ ہمیں پیار سے دیکہے,hasrat hai koee huncha hamen pyaar se dekhe
ارماں ہے کویی پہول ہمیں دل سے پکارے,armaan hai koee phuul hamen dil se pukaare
ہر صبح مری صبح پہ روتی رہی شبنم,har subh miree subh pe rotee rahee shabnam
ہر رات مری رات پہ ہنستے رہے تارے,har raat miree raat pe hanste rahe taare
کچہ اور بہی ہیں کام ہمیں اے غم جاناں,kuchh aur bhee hain kaam hamen ai hamejaanaan
کب تک کویی الجہی ہویی زلفوں کو سنوارے,kab tak koee uljhee huee zulfon ko sanvaare
جاگنے والو تا بہ سحر خاموش رہو,jaagne vaalo taabasahar khaamosh raho
کل کیا ہوگا کس کو خبر خاموش رہو,kal kyaa hogaa kis ko khabar khaamosh raho
کس نے سحر کے پاوں میں زنجیریں ڈالیں,kis ne sahar ke paanv men zanjeeren daaleen
ہو جایے گی رات بسر خاموش رہو,ho jaaegee raat basar khaamosh raho
شاید چپ رہنے میں عزت رہ جایے,shaayad chup rahne men izzat rah jaae
چپ ہی بہلی اے اہل نظر خاموش رہو,chup hee bhalee ai ahlenazar khaamosh raho
قدم قدم پر پہرے ہیں ان راہوں میں,qadam qadam par pahre hain in raahon men
دار و رسن کا ہے یہ نگر خاموش رہو,daarorasan kaa hai ye nagar khaamosh raho
یوں بہی کہاں بے تابی دل کم ہوتی ہے,yuun bhee kahaan betaabiedil kam hotee hai
یوں بہی کہاں ارام مگر خاموش رہو,yuun bhee kahaan aaraam magar khaamosh raho
شعر کی باتیں ختم ہوییں اس عالم میں,sher kee baaten khatm huiin is aalam men
کیسا جوشؔ اور کس کا جگرؔ خاموش رہو,kaisaa josh aur kis kaa jigar khaamosh raho
جہوٹی خبریں گہڑنے والے جہوٹے شعر سنانے والے,jhootee khabren ghadne vaale jhoote sher sunaane vaale
لوگو صبر کہ اپنے کیے کی جلد سزا ہیں پانے والے,logo sabr ki apne kiye kee jald sazaa hain paane vaale
درد انکہوں سے بہتا ہے اور چہرہ سب کچہ کہتا ہے,dard aankhon se bahtaa hai aur chehra sab kuchh kahtaa hai
یہ مت لکہو وہ مت لکہو ایے بڑے سمجہانے والے,ye mat likkho vo mat likkho aae bade samjhaane vaale
خود کاٹیں گے اپنی مشکل خود پاییں گے اپنی منزل,khud kaatenge apnee mushkil khud paaenge apnee manzil
راہزنوں سے بہی بد تر ہیں راہنما کہلانے والے,raahzanon se bhee badtar hain raahnumaa kahlaane vaale
ان سے پیار کیا ہے ہم نے ان کی راہ میں ہم بیٹہے ہیں,un se pyaar kiyaa hai ham ne un kee raah men ham baithe hain
نا ممکن ہے جن کا ملنا اور نہیں جو انے والے,naamumkin hai jin kaa milnaa aur naheen jo aane vaale
ان پر بہی ہنستی تہی دنیا اوازیں کستی تہی دنیا,un par bhee hanstee thee duniyaa aavaazen kastee thee duniyaa
جالبؔ اپنی ہی صورت تہے عشق میں جاں سے جانے والے,jaalib apnee hee soorat the ishq men jaan se jaane vaale
جیون مجہ سے میں جیون سے شرماتا ہوں,jeevan mujh se main jeevan se sharmaataa huun
